"Date","Scott","VWT"
20090101,-4.05,3.68
20090102,3.22,9.7
20090103,"NaN"," NaN"
20090104,"NaN"," NaN"
20090105,27.86,26.25
20090106,66.31,57.36
20090107,56.76,55.35
20090108,65.62,62.88
20090109,68.67,64.38
20090110,"NaN"," NaN"
20090111,"NaN"," NaN"
20090112,54.13,55.85
20090113,37.58,37.79
20090114,26.43,29.77
20090115,34.23,33.78
20090116,25.32,20.23
20090117,"NaN"," NaN"
20090118,"NaN"," NaN"
20090119,0.42,3.68
20090120,2.86,1.17
20090121,1.73,4.68
20090122,-16.23,-8.86
20090123,15.53,18.23
20090124,"NaN"," NaN"
20090125,"NaN"," NaN"
20090126,18.63,24.75
20090127,5.81,12.71
20090128,4.69,9.2
20090129,22.24,23.24
20090130,20,20.23
20090131,"NaN"," NaN"
20090201,"NaN"," NaN"
20090202,73.15,71.91
20090203,68.23,65.38
20090204,67.67,61.37
20090205,52.63,46.32
20090206,35.35,32.27
20090207,"NaN"," NaN"
20090208,"NaN"," NaN"
20090209,24.2,25.25
20090210,22.53,19.73
20090211,26.43,22.74
20090212,19.74,16.72
20090213,31.45,26.25
20090214,"NaN"," NaN"
20090215,"NaN"," NaN"
20090216,"NaN"," NaN"
20090217,1.73,5.69
20090218,2.86,8.7
20090219,-7.25,-1.68
20090220,-33.64,-24.92
20090221,"NaN"," NaN"
20090222,"NaN"," NaN"
20090223,9.6,11.71
20090224,5.46,6.69
20090225,31.75,28.26
20090226,"NaN",15.72
20090227,"NaN",30.27
20090228,"NaN"," NaN"
20090301,"NaN"," NaN"
20090302,"NaN",61.87
20090303,70.46,68.9
20090304,33.12,32.78
20090305,21.41,23.24
20090306,0.79,6.19
20090307,"NaN"," NaN"
20090308,"NaN"," NaN"
20090309,-30.42,-20.4
20090310,-3.11,7.69
20090311,32.56,39.3
20090312,45.38,49.33
20090313,35.91,40.3
20090314,"NaN"," NaN"
20090315,"NaN"," NaN"
20090316,25.87,27.26
20090317,4.69,7.19
20090318,"NaN"," NaN"
20090319,25.88,23.75
20090320,8.47,8.19
20090321,"NaN"," NaN"
20090322,"NaN"," NaN"
20090323,-8.22,-6.86
20090324,7.7,10.7
20090325,44.06,47.32
20090326,31.19,36.29
20090327,19.44,23.24
20090328,"NaN"," NaN"
20090329,"NaN"," NaN"
20090330,-21.29,-16.89
20090331,20,19.73
20090401,31.75,31.27
20090402,"NaN"," NaN"
20090403,4.9,4.87
20090404,"NaN"," NaN"
20090405,"NaN"," NaN"
20090406,0.42,-0.84
20090407,9.37,10.2
20090408,14.97,14.43
20090409,-0.14,1.67
20090410,4.9,7.19
20090411,"NaN"," NaN"
20090412,"NaN"," NaN"
20090413,21.95,17.22
20090414,-0.7,-3.69
20090415,-16.92,-16.28
20090416,25.04,23.99
20090417,52.45,49.16
20090418,"NaN"," NaN"
20090419,"NaN"," NaN"
20090420,64.89,65.77
20090421,44.06,46.14
20090422,47.97,49.66
20090423,35.11,41.11
20090424,26.16,32.55
20090425,"NaN"," NaN"
20090426,"NaN"," NaN"
20090427,1.91,6.38
20090428,-3.11,-1.17
20090429,39.81,38.89
20090430,37.9,37.88
20090501,31.19,30.3
20090502,"NaN"," NaN"
20090503,"NaN"," NaN"
20090504,21.68,22.24
20090505,42.04,40.3
20090506,19.19,21.74
20090507,16.96,18.73
20090508,46.5,45.82
20090509,"NaN"," NaN"
20090510,"NaN"," NaN"
20090511,35.91,31.77
20090512,20,16.22
20090513,10.16,9.7
20090514,48.71,42.31
20090515,14.33,12.21
20090516,"NaN"," NaN"
20090517,"NaN"," NaN"
20090518,-0.51,1.67
20090519,11.28,12.21
20090520,-0.51,2.68
20090521,7.14,9.2
20090522,-0.14,3.68
20090523,"NaN"," NaN"
20090524,"NaN"," NaN"
20090525,28.1,26.25
20090526,29.77,33.28
20090527,8.81,14.72
20090528,30.63,35.79
20090529,36.23,40.8
20090530,"NaN"," NaN"
20090531,"NaN"," NaN"
20090601,43.07,44.31
20090602,40.48,36.29
20090603,46.66,46.82
20090604,53.57,48.83
20090605,41.48,36.79
20090606,"NaN"," NaN"
20090607,"NaN"," NaN"
20090608,37.02,31.27
20090609,35.35,31.27
20090610,34.79,34.78
20090611,30.89,28.76
20090612,50.95,47.32
20090613,"NaN"," NaN"
20090614,"NaN"," NaN"
20090615,25.04,25.25
20090616,11.05,12.71
20090617,9.37,15.72
20090618,9.93,15.22
20090619,0.42,6.19
20090620,"NaN"," NaN"
20090621,"NaN"," NaN"
20090622,-13.99,-14.38
20090623,-9.34,-8.36
20090624,26.16,22.24
20090625,49.27,47.83
20090626,45.53,40.3
20090627,"NaN"," NaN"
20090628,"NaN"," NaN"
20090629,19.44,21.24
20090630,33.99,30.77
20090701,21.39,19.23
20090702,15.77,13.71
20090703,7.7,6.19
20090704,"NaN"," NaN"
20090705,"NaN"," NaN"
20090706,39.58," NaN"
20090707,31.45," NaN"
20090708,33.68," NaN"
20090709,25.87," NaN"
20090710,24.76,24.75
20090711,"NaN"," NaN"
20090712,"NaN"," NaN"
20090713,35.99,35.28
20090714,46.09,42.31
20090715,42.59,39.3
20090716,38.69,35.28
20090717,26.43,26.76
20090718,"NaN"," NaN"
20090719,"NaN"," NaN"
20090720,32.87,36.29
20090721,47.97,49.83
20090722,53.01,54.85
20090723,56.37,52.18
20090724,47.97,42.11
20090725,"NaN"," NaN"
20090726,"NaN"," NaN"
20090727,25.04,25.75
20090728,28.39,31.77
20090729,27.55,31.77
20090730,21.41,23.75
20090731,10.27,8.7
20090801,"NaN"," NaN"
20090802,"NaN"," NaN"
20090803,15.84,13.71
20090804,18.07,15.72
20090805,14.97,12.71
20090806,18.58," NaN"
20090807,19.4,15.72
20090808,"NaN"," NaN"
20090809,"NaN"," NaN"
20090810,26.73,27.01
20090811,20.83,22.74
20090812,24.2,27.76
20090813,24.48,28.76
20090814,22.8,26.25
20090815,"NaN"," NaN"
20090816,"NaN"," NaN"
20090817,0.24,8.19
20090818,9.71,14.72
20090819,12.5,13.21
20090820,47.61,44.82
20090821,49.84,46.82
20090822,"NaN"," NaN"
20090823,"NaN"," NaN"
20090824,49.84,46.82
20090825,69.35,62.88
20090826,43.71,39.3
20090827,47.05,44.82
20090828,-1.44,-0.84
20090829,"NaN"," NaN"
20090830,"NaN"," NaN"
20090831,11.38,9.7
20090901,-0.7,1.17
20090902,2.66,3.18
20090903,3.98,8.19
20090904,1.17,6.19
20090905,"NaN"," NaN"
20090906,"NaN"," NaN"
20090907,-7.25,-2.84
20090908,7.14,8.19
20090909,12.4,16.22
20090910,11.61,13.71
20090911,14.65,14.21
20090912,"NaN"," NaN"
20090913,"NaN"," NaN"
20090914,10.49,14.21
20090915,-7.41,-0.33
20090916,-1.44,2.17
20090917,-5.9,-2.84
20090918,-1.99,1.17
20090919,"NaN"," NaN"
20090920,"NaN"," NaN"
20090921,7.7,2.17
20090922,24.48,20.74
20090923,17.76,14.21
20090924,2.66,-2.34
20090925,20.86,15.72
20090926,"NaN"," NaN"
20090927,"NaN"," NaN"
20090928,23.36,27.26
20090929,20.56,25.25
20090930,50.21,52.34
20091001,60.28,55.85
20091002,56.92,53.34
20091003,"NaN"," NaN"
20091004,"NaN"," NaN"
20091005,48.53,46.82
20091006,34.55," NaN"
20091007,29.85,28.26
20091008,61.11,55.35
20091009,44.2,40.8
20091010,"NaN"," NaN"
20091011,"NaN"," NaN"
20091012,-10.06,-13.38
20091013,25.88,21.74
20091014,41.82,33.28
20091015,31.75,25.25
20091016,31.75,27.76
20091017,"NaN"," NaN"
20091018,"NaN"," NaN"
20091019,-31.46,-29.93
20091020,-20.28,-18.9
20091021,-24.19,-18.9
20091022,-26.43,-23.91
20091023,4.9,4.18
20091024,"NaN"," NaN"
20091025,"NaN"," NaN"
20091026,29.25,24.75
20091027,-1.07,0.17
20091028,31.49,27.76
20091029,45.53,38.29
20091030,70.35,61.87
20091031,"NaN"," NaN"
20091101,"NaN"," NaN"
20091102,64.76,53.85
20091103,37.11,32.27
20091104,55.64,53.34
20091105,61.11,58.36
20091106,57.32,56.35
20091107,"NaN"," NaN"
20091108,"NaN"," NaN"
20091109,27.56,30.27
20091110,23.92,26.76
20091111,40.14,43.81
20091112,51.89,54.35
20091113,50.21,53.85
20091114,"NaN"," NaN"
20091115,"NaN"," NaN"
20091116,35.75,30.77
20091117,16.58,18.18
20091118,20.53,20.44
20091119,"NaN"," NaN"
20091120,4.75,7.77
20091121,"NaN"," NaN"
20091122,"NaN"," NaN"
20091123,-10.47,-6.21
20091124,3.98,5.18
20091125,30.37,31.27
20091126,51.15,51.34
20091127,42.38,44.31
20091128,"NaN"," NaN"
20091129,"NaN"," NaN"
20091130,52.63,50.84
20091201,55.97,55.35
20091202,26.43,28.26
20091203,25.04,23.75
20091204,29.25,29.26
20091205,"NaN"," NaN"
20091206,"NaN"," NaN"
20091207,4.18,7.19
20091208,18.27,20.74
20091209,21.36,24.25
20091210,55.25,52.84
20091211,53.01,47.83
20091212,"NaN"," NaN"
20091213,"NaN"," NaN"
20091214,1.73,-3.34
20091215,-5.57,-6.86
20091216,-9.5,-1.34
20091217,-23.53,-13.88
20091218,12.17,18.73
20091219,"NaN"," NaN"
20091220,"NaN"," NaN"
20091221,6.37,8.19
20091222,30.89,25.25
20091223,71.58,63.38
20091224,,50.84
20091225,,57.36
20091226,," NaN"
20091227,," NaN"
20091228,,50.84
20091229,,47.32
20091230,,49.33
20091231,,45.32
