69002,HUNTER_LIGGET/TUSI&,CA,US,36,-121.23
69007,FORT_ORD/FRITZSCHE&,CA,US,36.68,-121.77
69008,CAMP_ROBERTS,CA,US,35.75,-120.7
69012,EGLIN_AFB_RNG_C52A&,FL,US,30.52,-86.3
69013,FALCON_RANGE______&,OK,US,34.65,-98.68
69014,EL_TORO_MCAS______&,CA,US,33.67,-117.73
69016,TUSTIN_MCAS_______&,CA,US,33.7,-117.83
69017,IND_SPRNG_RANGE_63,NV,US,36.53,-115.57
69019,DYESS_AFB/ABILENE_&,TX,US,32.43,-99.85
70026,BARROW,AK,US,71.3,-156.78
70063,OUIKTOK,AK,US,70.5,-149.88
70086,BARTER IS.,AK,US,70.12,-143.63
70133,KOTZEBUE,AK,US,66.87,-162.63
70174,BETTLES,AK,US,66.9,-151.52
70194,FORT YUKON,AK,US,66.58,-145.08
70200,NOME,AK,US,64.5,-165.43
70207,UNALAKLEET,AK,US,63.88,-160.8
70219,BETHEL,AK,US,60.78,-161.8
70231,MCGRATH,AK,US,62.97,-155.62
70232,ANIAK,AK,US,61.58,-159.53
70251,TALKEETNA,AK,US,62.3,-150.1
70259,KENAI,AK,US,60.56,-151.25
70260,NENANA,AK,US,64.55,-149.08
70261,FAIRBANKS,AK,US,64.82,-147.87
70264,SUMMIT,AK,US,63.33,-149.12
70266,FT_GREELY/ALLEN,AK,US,63.97,-145.69
70267,BIG DELTA,AK,US,64,-145.73
70270,FT_RICHARDSON/B,AK,US,61.27,-149.65
70271,GULKANA,AK,US,62.15,-145.45
70273,ANCHORAGE,AK,US,61.17,-150.02
70275,VALDEZ,AK,US,61.13,-146.35
70291,NORTHWAY,AK,US,62.95,-141.92
70296,CORDOVA-MILE 13,AK,US,60.5,-145.5
70308,ST. PAUL ISLAND,AK,US,57.15,-170.22
70316,COLD BAY,AK,US,55.2,-162.72
70321,DILLINGHAM,AK,US,59.05,-158.52
70326,KING SALMON,AK,US,58.68,-156.64
70333,PORT HEIDEN,AK,US,56.95,-158.62
70340,ILIAMNA,AK,US,59.75,-154.92
70341,HOMER,AK,US,59.63,-151.5
70343,MIDDLETON IS.,AK,US,59.43,-146.33
70350,KODIAK,AK,US,57.75,-152.52
70361,YAKUTAT,AK,US,59.52,-139.67
70371,SITKA,AK,US,57.06,-135.35
70381,JUNEAU,AK,US,58.37,-134.58
70387,WRANGELL,AK,US,56.46,-132.38
70395,KETCHIKAN,AK,US,55.35,-131.7
70398,ANNETTE ISLAND,AK,US,55.03,-131.57
70414,SHMYA/EARECKSON_AFS,AK,US,52.72,174.12
70454,ADAK,AK,US,51.88,-176.65
70489,DUTCH HARBOR,AK,US,53.88,-166.53
71043,NORMAN WELLS,NT,CN,65.28,-126.8
71045,TESLIN,YT,CN,60.17,-132.75
71051,SACHS HARBOUR,NT,CN,72,-125.27
71062,CONTWOYTO LAKE,NT,CN,65.48,-110.37
71066,HIGH LEVEL,AB,CN,58.62,-117.17
71068,PEACE RIVER,AB,CN,56.23,-117.45
71069,WAGNER/SLAVE LAKE,AB,CN,55.3,-114.78
71072,MOULD BAY,NT,CN,76.23,-119.32
71073,FORT RELIANCE,NT,CN,62.72,-109.17
71076,URANIUM CITY,SK,CN,59.57,-108.48
71077,BUFFALO NARROWS,SK,CN,55.83,-108.43
71078,LYNN LAKE,MB,CN,56.87,-101.07
71079,THOMPSON,MB,CN,55.8,-97.87
71090,CLYDE,NT,CN,70.47,-68.62
71101,SANDSPIT,BC,CN,53.25,-131.82
71102,ETHELDA BAY,BC,CN,53.05,-129.67
71103,QUESNAL,BC,CN,53.03,-122.52
71104,WILLIAMS LAKE,BC,CN,52.18,-122.05
71107,CAPE ST. JAMES,BC,CN,51.93,-131.02
71108,ABBOTSFORD,BC,CN,49.03,-122.37
71109,PORT HARDY,BC,CN,50.68,-127.37
71114,HOPE,BC,CN,49.37,-121.48
71120,COLD LAKE,AB,CN,54.42,-110.28
71121,EDMONTON/NAMAO,AB,CN,53.67,-113.47
71122,BANFF,AB,CN,51.18,-115.57
71123,EDMONTON,AB,CN,53.32,-113.58
71125,MEADOW LAKE,SK,CN,54.13,-108.52
71129,KINDERSLEY,SK,CN,51.47,-109.17
71135,ROCKGLEN,SK,CN,49.17,-105.97
71138,YORKTON,SK,CN,51.27,-102.47
71140,BRANDON,MB,CN,49.92,-99.95
71143,BISSETT,MB,CN,51.03,-95.67
71145,ISLAND LAKE,MB,CN,53.87,-94.67
71182,CHURCHILL FALLS,NF,CN,53.55,-64.1
71187,BAIE COMEAU,PQ,CN,49.13,-68.19
71188,GASPE,PQ,CN,48.77,-64.48
71193,COMFORT COVE,NF,CN,49.27,-54.88
71196,BONAVISTA,NF,CN,48.7,-53.1
71395,HALIFAX,NS,CN,44.88,-63.51
71398,TRURO,NS,CN,45.37,-63.27
71399,SHELBURNE,NS,CN,43.72,-65.25
71527,SIMCOE,ON,CN,42.85,-80.26
71538,WINDSOR,ON,CN,42.27,-82.97
71600,SABLE ISLAND,NS,CN,43.93,-60.02
71601,SHEARWATER,NS,CN,44.63,-63.5
71603,YARMOUTH,NS,CN,43.83,-66.08
71604,EDDY POINT,NS,CN,45.52,-61.25
71609,ST. JOHN,NB,CN,45.32,-65.87
71610,SHERBROOKE,PQ,CN,45.43,-71.68
71620,KINGSTON,ON,CN,44.22,-76.6
71621,TRENTON,ON,CN,44.12,-77.53
71623,LONDON,ON,CN,43.03,-81.15
71624,TORONTO/MALTON,ON,CN,43.68,-79.62
71625,PETAWAWA,ON,CN,45.95,-77.32
71626,MONTREAL/MIRABEL,PQ,CN,45.68,-74.03
71627,MONTREAL/DORVAL,PQ,CN,45.47,-73.75
71628,OTTAWA,ON,CN,45.32,-75.67
71630,MUSKOKA,ON,CN,44.97,-79.3
71631,MT. FOREST,ON,CN,43.98,-80.75
71633,WIARTON,ON,CN,44.75,-81.1
71700,FREDERICTON,NB,CN,45.87,-66.53
71701,GAGETOWN,NB,CN,45.83,-66.43
71702,SUMMERSIDE,PE,CN,46.43,-63.83
71705,MONCTON,NB,CN,46.12,-64.68
71706,CHARLOTTETOWN,PE,CN,46.28,-63.13
71707,SYDNEY,NS,CN,46.17,-60.05
71709,GRINDSTONE IS.,PQ,CN,47.38,-61.87
71711,CHARLO,NB,CN,48,-66.33
71714,QUEBEC,PQ,CN,46.8,-71.4
71716,VALCARTIER,QB,CN,46.9,-71.5
71717,CHATHAM,NB,CN,47.02,-65.44
71718,MONT JOLI,PQ,CN,48.62,-68.22
71720,STE. AGATHE DES MONTS,PQ,CN,46.05,-74.28
71722,MANIWAKI,QB,CN,46.38,-75.97
71725,VAL D'OR,PQ,CN,48.05,-77.78
71727,BAGOTVILLE,PQ,CN,48.33,-71
71730,SUDBURY,ON,CN,46.63,-80.8
71731,NORTH BAY,ON,CN,46.37,-79.42
71733,GORE BAY,ON,CN,45.88,-82.57
71735,EARLTON,ON,CN,47.7,-79.85
71739,TIMMINS,ON,CN,48.57,-81.37
71749,THUNDER BAY,ON,CN,48.37,-89.32
71799,VICTORIA,BC,CN,48.65,-123.43
71801,ST. JOHN'S/TORBAY,NF,CN,47.62,-52.75
71803,GANDER,NF,CN,48.95,-54.57
71805,ST. PIERRE-MIQUELON,,FR,46.77,-56.17
71808,BLANC SABLON,PQ,CN,51.45,-57.18
71809,DEER LAKE,NF,CN,49.22,-57.4
71811,SEPT ILES,PQ,CN,50.22,-66.26
71813,NATASHQUAN,PQ,CN,50.18,-61.82
71815,STEPHENVILLE,NF,CN,48.53,-58.55
71816,GOOSE BAY,NF,CN,53.32,-60.42
71819,ST. ANTHONY,NF,CN,51.37,-55.63
71821,MATAGAMI,PQ,CN,49.77,-77.8
71822,CHIBOUGAMAU,PQ,CN,49.82,-74.42
71825,WABUSH LAKE,NF,CN,52.93,-66.87
71826,NITCHEQUON,PQ,CN,53.2,-70.9
71828,SCHEFFERVILLE,PQ,CN,54.8,-66.8
71831,KAPUSKASING,ON,CN,49.42,-82.47
71834,GERALDTON,ON,CN,49.78,-86.93
71836,MOOSONEE,ON,CN,51.27,-80.65
71841,ARMSTRONG,ON,CN,50.28,-88.92
71842,SIOUX LOOKOUT,ON,CN,50.12,-91.9
71846,LANSDOWNE HOUSE,ON,CN,52.23,-87.88
71848,TROUT LAKE,ON,CN,53.83,-89.87
71850,KENORA,ON,CN,49.78,-94.37
71851,PORTAGE LA PRAIRIE,MB,CN,49.9,-98.27
71852,WINNIPEG,MB,CN,49.92,-97.23
71854,RED LAKE,ON,CN,51.07,-93.8
71855,DAUPHIN,MB,CN,51.1,-100.05
71856,GIMLI,MB,CN,50.62,-96.98
71858,GRAND RAPIDS,MB,CN,53.18,-99.27
71861,BROADVIEW,SK,CN,50.38,-102.68
71862,ESTEVAN,SK,CN,49.07,-103
71863,REGINA,SK,CN,50.43,-104.67
71864,MOOSE JAW,SK,CN,50.33,-105.55
71865,WYNYARD,SK,CN,51.77,-104.2
71866,SASKATOON,SK,CN,52.17,-106.7
71867,THE PAS,MB,CN,53.97,-101.1
71868,HUDSON BAY,SK,CN,52.82,-102.32
71869,PRINCE ALBERT,SK,CN,53.22,-105.68
71870,SWIFT CURRENT,SK,CN,50.3,-107.68
71871,LLOYDMINSTER,AB,CN,53.25,-110.07
71872,MEDICINE HAT,AB,CN,50.02,-110.72
71873,CORONATION,AB,CN,52.07,-111.45
71874,LETHBRIDGE,AB,CN,49.63,-112.8
71876,NORTH BATTLEFORD,SK,CN,52.77,-108.25
71877,CALGARY,AB,CN,51.12,-114.02
71878,RED DEER,AB,CN,52.18,-113.9
71879,EDMONTON,AB,CN,53.57,-113.52
71880,CRANBROOK,BC,CN,49.62,-115.78
71881,EDSON,AB,CN,53.58,-116.45
71882,REVELSTOKE,BC,CN,50.97,-118.18
71884,CASTLEGAR,BC,CN,49.3,-117.63
71887,KAMLOOPS,BC,CN,50.7,-120.45
71888,JASPER,AB,CN,52.88,-118.07
71889,PENTICTON,BC,CN,49.47,-119.6
71890,NANAIMO,BC,CN,49.05,-123.87
71891,LYTTON,BC,CN,50.23,-121.58
71892,VANCOUVER,BC,CN,49.18,-123.17
71893,COMOX,BC,CN,49.72,-124.9
71896,PRINCE GEORGE,BC,CN,53.88,-122.67
71898,PRINCE RUPERT,BC,CN,54.3,-130.45
71899,LANGARA,BC,CN,54.25,-133.05
71900,HOPEDALE,NF,CN,55.45,-60.23
71905,KUUJJUARAPIK,PQ,CN,55.28,-77.76
71906,KUUJJUAQ,PQ,CN,58.1,-68.42
71907,INUKJUAK,PQ,CN,58.45,-78.12
71909,FROBISHER,NT,CN,63.75,-68.55
71912,GILLAM,MB,CN,56.37,-94.7
71913,CHURCHILL,MB,CN,58.73,-94.07
71915,CORAL HARBOUR,NT,CN,64.19,-83.37
71916,CHESTERFIELD,NT,CN,63.33,-90.72
71917,EUREKA,NT,CN,80,-85.93
71920,CREE LAKE,SK,CN,57.35,-107.13
71922,LA RONGE,SK,CN,55.15,-105.27
71923,ENNADAI LAKE,NT,CN,61.13,-100.9
71924,RESOLUTE BAY,NT,CN,74.72,-94.95
71925,CAMBRIDGE BAY,NT,CN,69.1,-105.13
71926,BAKER LAKE,NT,CN,64.3,-96.08
71928,ROCKY MT. HOUSE,AB,CN,52.43,-114.92
71930,WHITECOURT,AB,CN,54.15,-115.78
71931,LAC LA BICHE,AB,CN,54.77,-112.02
71932,FORT MCMURRAY,AB,CN,56.65,-111.22
71933,FORT CHIPEWYAN,AB,CN,58.77,-111.12
71934,FORT SMITH,NT,CN,60.02,-111.97
71935,HAY RIVER,NT,CN,60.83,-115.78
71936,YELLOWKNIFE,NT,CN,62.47,-114.43
71938,COPPERMINE,NT,CN,67.82,-115.13
71940,GRANDE PRAIRIE,AB,CN,55.18,-118.88
71943,FORT ST. JOHN,BC,CN,56.23,-120.73
71944,MACKENZIE,BC,CN,55.3,-123.13
71945,FORT NELSON,BC,CN,58.83,-122.6
71946,FORT SIMPSON,NT,CN,61.75,-121.23
71950,SMITHERS,BC,CN,54.82,-127.18
71951,TERRACE,BC,CN,54.47,-128.58
71952,BURNS LAKE,BC,CN,54.23,-125.77
71953,WATSON LAKE,YT,CN,60.12,-128.82
71957,INUVIK,NT,CN,68.3,-133.48
71958,DEASE LAKE,BC,CN,58.42,-130
71964,WHITEHORSE,YT,CN,60.72,-135.07
71965,MAYO LANDING,YT,CN,63.62,-135.87
71966,DAWSON,YT,CN,64.05,-139.13
71967,BURWASH,YT,CN,61.37,-139.05
72201,KEY WEST,FL,US,24.55,-81.75
72202,MIAMI,FL,US,25.8,-80.28
72203,WEST PALM BEACH,FL,US,26.68,-80.1
72204,VERO BEACH,FL,US,27.65,-80.41
72205,ORLANDO,FL,US,28.43,-81.32
72206,JACKSONVILLE,FL,US,30.5,-81.69
72207,SAVANNAH,GA,US,32.13,-81.2
72208,CHARLESTON,SC,US,32.9,-80.03
72210,TAMPA BAY AREA,FL,US,27.7,-82.4
72211,TAMPA,FL,US,27.97,-82.53
72212,CROSS CITY,FL,US,29.62,-83.1
72213,WAYCROSS/WARE C,GA,US,31.25,-82.4
72214,TALLAHASSEE,FL,US,30.38,-84.37
72215,PEACHTREE CITY,GA,US,33.36,-84.56
72217,MACON,GA,US,32.7,-83.65
72218,AUGUSTA,GA,US,33.37,-81.97
72219,ATLANTA,GA,US,33.65,-84.43
72220,APALACHICOLA,FL,US,29.73,-85.03
72221,CRESTVIEW,FL,US,30.78,-86.51
72222,PENSACOLA,FL,US,30.47,-87.2
72223,MOBILE,AL,US,30.68,-88.25
72225,COLUMBUS METRO ARPT,GA,US,32.51,-84.93
72226,MONTGOMERY,AL,US,32.3,-86.4
72228,BIRMINGHAM,AL,US,33.57,-86.75
72229,CENTREVILLE WSM,AL,US,32.9,-87.25
72230,SHELBY CO AIRPT,AL,US,33.17,-86.77
72231,NEW ORLEANS/MOISANT,LA,US,29.98,-90.25
72232,BOOTHVILLE,LA,US,29.33,-89.4
72233,SLIDELL,LA,US,30.25,-89.77
72234,MERIDIAN,MS,US,32.33,-88.75
72235,JACKSON,MS,US,32.32,-90.08
72239,FORT POLK (ARMY,LA,US,31.05,-93.2
72240,LAKE CHARLES,LA,US,30.13,-93.22
72242,GALVESTON,TX,US,29.3,-94.8
72243,HOUSTON,TX,US,29.97,-95.35
72247,LONGVIEW,TX,US,32.35,-94.65
72248,SHREVEPORT,LA,US,32.47,-93.82
72249,FORT WORTH,TX,US,32.79,-97.3
72250,BROWNSVILLE,TX,US,25.9,-97.43
72251,CORPUS CHRISTI,TX,US,27.77,-97.5
72252,LAREDO,TX,US,27.53,-99.47
72253,SAN ANTONIO,TX,US,29.53,-98.47
72254,AUSTIN,TX,US,30.3,-97.7
72255,VICTORIA,TX,US,28.85,-96.92
72256,WACO,TX,US,31.62,-97.23
72257,FT HOOD AAF/KIL,TX,US,31.15,-97.72
72258,PARIS,TX,US,33.63,-95.45
72259,DALLAS-FORT WORTH,TX,US,32.9,-97.03
72260,STEPHENVILLE,TX,US,32.22,-98.18
72261,DEL RIO,TX,US,29.37,-100.92
72262,GUADALUPE PASS,TX,US,31.83,-104.8
72263,SAN ANGELO,TX,US,31.37,-100.5
72264,MARFA,TX,US,30.37,-104.02
72265,MIDLAND,TX,US,31.95,-102.18
72266,ABILENE,TX,US,32.41,-99.68
72267,LUBBOCK,TX,US,33.65,-101.82
72268,ROSWELL,NM,US,33.3,-104.53
72270,EL PASO,TX,US,31.8,-106.4
72271,TRUTH OR CONSEQUENCES,NM,US,33.23,-107.27
72273,FORT HUACHUCA,AZ,US,31.6,-110.35
